frame_idx,match_rank,distance,kl1_sx,kl1_sy,kl1_ex,kl1_ey,kl1_angle,kl1_length,kl2_sx,kl2_sy,kl2_ex,kl2_ey,kl2_angle,kl2_length
1,0,6.0,1778.70,253.09,1744.96,824.34,1.6298,572.25,1775.69,301.88,1744.90,824.33,1.6296,523.36
1,1,9.0,1753.76,335.59,1725.63,819.45,1.6289,484.68,1753.78,331.84,1725.63,819.45,1.6285,488.42
1,2,8.0,537.36,896.85,516.56,415.53,-1.6140,481.77,537.62,898.15,516.32,410.54,-1.6145,488.07
1,3,12.0,1363.42,454.38,1355.28,914.39,1.5885,460.08,1363.46,449.34,1355.29,914.39,1.5884,465.13
1,4,4.0,933.17,26.75,1355.68,10.76,-0.0378,422.81,933.18,27.06,1355.69,10.96,-0.0381,422.81
1,5,11.0,536.70,479.33,554.74,894.41,1.5274,415.48,544.22,643.18,554.79,894.41,1.5287,251.45
1,6,6.0,1345.61,202.49,940.59,214.30,3.1124,405.19,1344.37,202.83,940.60,214.75,3.1121,403.94
1,7,7.0,515.61,41.39,914.39,27.19,-0.0356,399.03,514.42,41.94,913.15,27.67,-0.0358,398.99
1,8,4.0,913.15,29.96,520.61,44.01,3.1058,392.79,913.16,30.38,520.63,44.48,3.1057,392.79
1,9,10.0,1761.92,4.72,1376.88,14.64,3.1158,385.16,1626.91,8.10,1376.89,14.85,3.1146,250.11
1,10,3.0,915.60,214.96,530.61,219.46,3.1299,385.02,915.61,215.37,530.60,220.07,3.1294,385.03
1,11,16.0,121.87,53.05,495.66,41.63,-0.0305,373.96,121.85,53.58,496.88,42.11,-0.0306,375.21
1,12,14.0,505.61,219.87,136.86,228.74,3.1175,368.85,506.84,220.40,135.60,229.46,3.1172,371.35
1,13,12.0,495.63,44.43,129.38,55.72,3.1108,366.42,495.64,45.01,129.35,56.18,3.1111,366.46
1,14,13.0,129.41,59.14,495.65,47.69,-0.0312,366.42,130.63,59.67,495.62,48.08,-0.0317,365.17
1,15,4.0,1361.87,9.25,1728.11,0.14,-0.0249,366.35,1368.16,9.41,1639.38,2.02,-0.0273,271.32
1,16,8.0,923.31,734.37,919.15,369.33,-1.5822,365.06,923.46,745.64,919.14,369.33,-1.5823,376.33
1,17,4.0,560.63,899.34,919.37,906.09,0.0188,358.80,564.37,899.83,919.38,906.47,0.0187,355.08
1,18,5.0,183.09,888.07,534.42,897.69,0.0274,351.46,184.33,888.69,535.66,898.04,0.0266,351.46
1,19,5.0,940.51,570.59,945.05,903.12,1.5571,332.55,940.93,590.59,945.08,903.13,1.5575,312.57
1,20,2.0,1365.91,324.38,1374.88,10.60,-1.5422,313.91,1365.91,319.38,1374.64,10.63,-1.5426,308.87
1,21,14.0,1722.37,820.65,1739.83,526.83,-1.5115,294.34,1722.41,820.58,1748.24,379.38,-1.5123,441.96
1,22,1.0,600.59,914.72,881.88,920.31,0.0199,281.34,600.61,915.12,881.88,920.54,0.0192,281.32
1,23,8.0,158.13,38.20,423.13,30.84,-0.0278,265.11,159.35,38.42,424.36,31.18,-0.0273,265.11
1,24,8.0,946.84,921.72,1206.91,929.49,0.0299,260.18,979.34,923.06,1209.40,929.72,0.0289,230.16
1,25,8.0,914.37,903.28,660.64,898.79,-3.1239,253.78,919.38,903.93,704.37,899.72,-3.1220,215.06
1,26,9.0,1351.97,15.95,1103.14,24.71,3.1064,248.99,1351.98,16.40,1075.62,25.52,3.1086,276.51
1,27,12.0,1358.10,916.75,1601.88,923.03,0.0258,243.86,1356.87,916.90,1601.87,923.29,0.0261,245.08
1,28,21.0,1598.11,926.28,1354.36,920.00,-3.1158,243.83,1513.12,924.48,1354.39,920.04,-3.1137,158.79
1,29,3.0,141.69,363.14,126.13,128.09,-1.6369,235.56,141.49,359.48,126.61,134.31,-1.6368,225.66
1,30,3.0,1546.71,165.29,1757.32,62.80,-0.4529,234.23,1546.77,165.41,1757.33,62.80,-0.4535,234.23
1,31,3.0,421.89,913.94,198.19,907.30,-3.1119,223.80,333.16,911.81,199.42,907.84,-3.1119,133.80
1,32,11.0,941.69,905.64,939.21,686.88,-1.5821,218.78,941.91,924.39,939.27,688.13,-1.5820,236.28
1,33,3.0,1755.79,59.72,1567.06,152.24,2.6858,210.20,1755.79,59.70,1568.12,151.87,2.6851,209.07
1,34,15.0,132.11,431.95,117.98,231.89,-1.6413,200.56,147.07,640.52,118.05,233.04,-1.6419,408.51
1,35,0.0,1549.64,179.96,1732.14,97.46,-0.4246,200.28,1550.18,179.90,1732.12,97.42,-0.4256,199.76
1,36,15.0,198.14,907.54,0.59,901.70,-3.1120,197.64,199.45,908.21,0.58,902.29,-3.1118,198.96
1,37,6.0,936.82,379.35,940.64,569.42,1.5507,190.11,937.05,384.35,940.83,590.67,1.5525,206.35
1,38,2.0,1148.12,214.29,961.87,219.17,3.1154,186.32,1150.63,214.58,961.88,219.72,3.1144,188.82
1,39,6.0,228.32,107.55,404.59,166.23,0.3214,185.78,228.17,107.99,404.42,166.75,0.3218,185.78
1,40,3.0,1398.09,935.54,1581.84,940.73,0.0282,183.82,1396.87,935.73,1583.08,940.97,0.0281,186.28
1,41,8.0,914.40,31.87,915.23,215.64,1.5663,183.76,914.34,31.88,915.28,218.14,1.5658,186.27
1,42,5.0,934.80,210.64,932.14,28.12,-1.5854,182.54,934.80,211.89,932.11,28.12,-1.5854,183.79
1,43,5.0,517.41,45.60,524.29,226.88,1.5329,181.40,517.32,45.66,524.22,221.93,1.5316,176.41
1,44,4.0,984.38,215.87,1165.62,211.64,-0.0233,181.29,978.12,216.51,1163.13,212.01,-0.0243,185.07
1,45,20.0,552.55,914.40,545.05,735.60,-1.6127,178.96,552.69,915.64,545.34,735.64,-1.6116,180.16
1,46,7.0,1175.54,212.33,1349.36,205.28,-0.0405,173.96,1164.39,213.48,1281.93,208.10,-0.0458,117.66
1,47,15.0,1371.78,209.37,1366.11,381.89,1.6036,172.61,1371.52,209.32,1363.84,454.40,1.6021,245.19
1,48,6.0,497.55,49.40,505.72,219.43,1.5228,170.22,497.53,49.40,505.74,219.43,1.5225,170.22
1,49,10.0,529.73,219.30,521.51,49.39,-1.6191,170.10,529.72,219.36,521.51,49.39,-1.6191,170.16
1,50,3.0,1740.08,929.75,1872.43,1036.19,0.6773,169.84,1740.04,929.80,1872.99,1036.74,0.6774,170.62
1,51,10.0,925.80,901.89,923.64,734.38,-1.5837,167.52,926.09,901.89,923.89,746.86,-1.5850,155.04
1,52,23.0,1792.39,0.66,1782.27,166.90,1.6316,166.55,1792.11,0.64,1781.88,168.13,1.6318,167.80
1,53,25.0,0.58,882.24,166.90,887.36,0.0308,166.40,0.59,883.07,166.89,887.70,0.0278,166.36
1,54,11.0,143.31,225.71,129.37,60.52,-1.6550,165.78,143.45,226.85,129.39,60.52,-1.6551,166.92
1,55,4.0,1101.89,23.68,938.12,29.19,3.1080,163.87,1074.39,24.90,938.13,29.45,3.1082,136.34
1,56,13.0,404.44,162.94,250.43,111.21,-2.8175,162.46,405.39,163.83,250.29,111.63,-2.8169,163.65
1,57,4.0,1377.51,16.89,1372.77,178.11,1.6002,161.29,1377.21,16.88,1372.63,178.15,1.5992,161.33
1,58,7.0,1375.60,204.75,1531.87,200.48,-0.0273,156.33,1375.61,205.15,1533.12,200.58,-0.0290,157.58
1,59,10.0,1621.63,121.40,1760.22,52.30,-0.4625,154.85,1598.60,132.84,1758.24,53.35,-0.4620,178.33
1,60,8.0,1526.88,203.48,1374.35,207.27,3.1168,152.58,1525.61,203.82,1373.14,207.59,3.1168,152.52
1,61,10.0,1741.84,820.62,1751.27,670.59,-1.5080,150.33,1744.31,781.87,1757.71,565.60,-1.5089,216.69
1,62,11.0,1210.63,932.88,1061.83,928.31,-3.1109,148.87,1210.66,932.97,1150.60,931.40,-3.1156,60.08
1,63,11.0,504.37,225.58,355.61,228.57,3.1215,148.80,504.39,226.31,354.37,229.24,3.1220,150.04
1,64,9.0,355.63,225.91,504.38,223.17,-0.0184,148.77,355.62,226.62,504.36,223.81,-0.0189,148.77
1,65,17.0,1908.44,598.15,1918.59,451.91,-1.5015,146.59,1911.34,551.93,1917.28,470.65,-1.4978,81.49
1,66,5.0,151.70,505.64,141.62,360.56,-1.6402,145.43,151.68,504.39,141.67,360.55,-1.6402,144.18
1,67,26.0,1351.46,208.09,1354.08,63.14,-1.5528,144.98,1350.94,196.92,1353.94,100.69,-1.5396,96.28
1,68,18.0,1060.66,928.23,919.34,924.43,-3.1147,141.37,1066.93,928.93,950.60,925.13,-3.1090,116.39
1,69,11.0,1195.62,911.88,1331.90,916.01,0.0303,136.34,1200.64,912.62,1333.15,916.11,0.0263,132.55
1,70,6.0,1751.45,669.42,1759.61,534.39,-1.5104,135.28,1744.31,781.87,1757.71,565.60,-1.5089,216.69
1,71,2.0,1183.13,471.42,1048.11,472.97,3.1301,135.03,1183.14,471.81,1048.11,473.41,3.1297,135.04
1,72,4.0,1183.16,363.09,1049.36,366.46,3.1164,133.83,1183.17,363.34,1049.34,367.00,3.1143,133.87
1,73,5.0,773.40,375.62,776.57,509.38,1.5471,133.80,773.40,375.62,776.55,509.38,1.5472,133.80
1,74,12.0,819.40,922.12,686.85,919.48,-3.1217,132.57,819.39,922.54,551.87,917.14,-3.1214,267.57
1,75,12.0,1049.35,369.68,1180.64,366.40,-0.0249,131.33,1070.60,369.61,1156.88,367.13,-0.0287,86.32
1,76,24.0,165.62,890.74,34.38,886.84,-3.1119,131.30,165.65,891.00,75.61,888.63,-3.1152,90.07
1,77,7.0,1349.35,71.87,1345.90,201.85,1.5973,130.02,1349.17,71.87,1345.61,201.87,1.5982,130.05
1,78,8.0,378.53,499.43,370.50,370.63,-1.6331,129.04,378.66,499.42,370.54,370.79,-1.6338,128.89
1,79,10.0,1906.05,808.25,1915.85,680.45,-1.4943,128.18,1906.75,795.71,1914.21,698.02,-1.4946,97.98
1,80,5.0,678.65,500.65,674.27,373.09,-1.6051,127.64,678.70,501.86,674.29,373.09,-1.6050,128.85
1,81,6.0,1501.88,198.19,1374.40,201.58,3.1150,127.52,1501.88,198.47,1374.38,201.89,3.1148,127.55
1,82,4.0,773.96,501.89,770.68,375.62,-1.5967,126.30,773.97,503.14,770.67,375.62,-1.5967,127.55
1,83,11.0,1352.86,899.39,1354.69,773.13,-1.5563,126.27,1352.75,900.64,1353.90,840.64,-1.5515,60.01
1,84,4.0,1727.85,93.80,1613.85,147.01,2.7049,125.81,1727.85,93.78,1613.88,147.06,2.7043,125.81
1,85,2.0,1735.91,948.14,1743.03,825.62,-1.5128,122.73,1735.87,949.32,1743.04,825.62,-1.5129,123.90
1,86,16.0,648.12,224.68,525.62,225.29,3.1366,122.50,654.37,225.48,526.87,226.04,3.1372,127.50
