frame_idx,match_rank,distance,kl1_sx,kl1_sy,kl1_ex,kl1_ey,kl1_angle,kl1_length,kl2_sx,kl2_sy,kl2_ex,kl2_ey,kl2_angle,kl2_length
1,49,9.0,1627.90,599.10,1918.66,665.80,0.2255,298.31,1629.15,597.85,1918.71,664.32,0.2257,297.09
1,50,14.0,1629.04,578.50,1918.73,638.96,0.2057,295.94,1630.54,577.28,1918.53,637.45,0.2060,294.21
1,51,7.0,1630.26,589.09,1918.56,652.41,0.2162,295.17,1631.66,587.85,1918.59,650.99,0.2166,293.80
1,52,5.0,1599.09,79.64,1878.93,0.00,-0.2773,290.95,1600.27,78.15,1875.14,0.00,-0.2770,285.76
1,53,12.0,1631.66,535.65,1918.48,583.47,0.1652,290.78,1632.91,534.39,1918.50,582.12,0.1656,289.55
1,54,6.0,405.64,280.76,695.65,277.53,-0.0111,290.02,406.89,279.30,696.89,276.21,-0.0106,290.02
1,55,13.0,1633.02,492.69,1918.57,528.35,0.1243,287.76,1634.28,491.38,1918.44,526.88,0.1243,286.37
1,56,13.0,1634.29,471.49,1918.38,500.69,0.1024,285.59,1635.54,470.23,1918.39,499.25,0.1022,284.34
1,57,16.0,1634.38,460.53,1918.36,486.88,0.0925,285.19,1636.76,459.37,1918.37,485.45,0.0924,282.82
1,58,19.0,1237.03,889.38,1238.94,604.36,-1.5641,285.02,1238.16,886.88,1240.20,589.36,-1.5639,297.52
1,59,16.0,1635.42,482.42,1918.52,514.63,0.1133,284.93,1636.68,481.12,1918.40,513.18,0.1133,283.55
1,60,4.0,1595.14,684.49,1864.12,771.43,0.3126,282.67,1594.94,682.65,1820.86,756.15,0.3145,237.58
1,61,13.0,1638.09,449.85,1918.25,472.83,0.0819,281.11,1636.16,513.19,1918.33,554.22,0.1444,285.14
1,62,10.0,1646.75,183.65,1918.33,135.54,-0.1753,275.81,1650.56,136.60,1918.49,77.25,-0.2180,274.42
1,63,8.0,1644.44,262.52,1918.30,234.85,-0.1007,275.25,1645.42,261.11,1918.29,233.53,-0.1007,274.26
1,64,13.0,281.41,759.30,307.39,1032.96,1.4761,274.89,276.00,685.59,308.81,1030.68,1.4760,346.65
1,65,7.0,0.54,1046.12,273.25,1014.17,-0.1166,274.58,0.64,1044.46,275.68,1012.35,-0.1163,276.91
1,66,16.0,1653.51,79.53,1918.20,7.15,-0.2669,274.41,1602.84,92.09,1918.56,5.98,-0.2663,327.25
1,67,13.0,1397.69,569.40,1406.65,296.87,-1.5380,272.68,1398.92,569.40,1407.86,296.87,-1.5380,272.68
1,68,14.0,252.74,403.27,277.34,673.31,1.4800,271.15,253.64,402.06,278.65,668.08,1.4771,267.19
1,69,17.0,228.18,163.00,253.22,430.62,1.4775,268.78,226.73,131.66,251.83,401.99,1.4782,271.50
1,70,5.0,1599.22,72.60,1851.14,0.00,-0.2806,262.18,1600.39,71.10,1847.04,0.00,-0.2806,256.68
1,71,24.0,1218.64,865.63,1219.70,611.87,-1.5666,253.76,1219.73,861.88,1220.68,653.12,-1.5662,208.76
1,72,26.0,1569.19,381.89,1572.29,146.83,-1.5576,235.08,1567.16,423.28,1572.65,325.60,-1.5146,97.84
1,73,8.0,816.88,86.87,1031.89,89.59,0.0127,215.03,816.88,85.35,1033.14,88.14,0.0129,216.28
1,74,5.0,1601.55,60.80,1807.00,0.00,-0.2877,214.26,1603.08,59.22,1803.60,0.00,-0.2872,209.09
1,75,27.0,833.13,740.59,838.24,943.12,1.5456,202.59,830.27,606.89,839.68,941.87,1.5427,335.11
1,76,1.0,1599.60,57.59,1787.71,0.00,-0.2971,196.73,1603.39,55.24,1783.97,0.00,-0.2969,188.84
1,77,12.0,405.30,281.79,422.71,470.55,1.4788,189.56,406.45,280.55,423.95,469.30,1.4784,189.56
1,78,14.0,1389.13,1010.37,1569.89,981.33,-0.1593,183.07,1386.73,1009.73,1571.17,980.31,-0.1582,186.77
1,79,9.0,1237.39,890.45,1375.15,1007.65,0.7049,180.87,1239.17,889.61,1344.94,980.18,0.7081,139.24
1,80,11.0,696.30,278.16,708.57,456.93,1.5022,179.19,697.36,276.93,709.68,455.69,1.5020,179.19
1,81,9.0,814.34,89.08,986.86,94.79,0.0331,172.61,815.60,87.59,988.12,93.24,0.0327,172.61
1,82,16.0,1577.10,983.39,1720.99,1078.22,0.5828,172.33,1577.98,982.10,1725.00,1079.07,0.5830,176.12
1,83,7.0,618.11,81.51,785.61,84.98,0.0207,167.54,610.61,80.15,786.87,83.45,0.0187,176.29
1,84,18.0,1630.14,643.69,1786.78,685.97,0.2637,162.25,1628.85,641.70,1789.18,685.11,0.2644,166.10
1,85,11.0,1038.37,89.74,1172.37,0.00,-0.5901,161.28,1039.49,88.29,1170.30,0.15,-0.5929,157.74
1,86,6.0,1044.96,89.00,1178.90,0.00,-0.5865,160.82,1046.06,87.53,1177.70,0.00,-0.5868,158.09
1,87,7.0,1031.99,90.12,1164.92,0.00,-0.5958,160.60,1033.67,88.34,1163.71,0.00,-0.5967,157.21
1,88,11.0,120.69,1028.65,274.34,1010.32,-0.1187,154.74,124.35,1026.70,274.32,1008.89,-0.1182,151.02
1,89,1.0,789.28,0.63,795.23,154.34,1.5321,153.83,790.37,0.63,796.24,153.10,1.5323,152.58
1,90,6.0,1600.48,46.43,1746.53,0.00,-0.3078,153.25,1601.99,44.73,1742.80,0.00,-0.3076,147.74
1,91,24.0,1573.05,147.06,1580.60,0.43,-1.5193,146.83,1570.61,265.47,1581.42,0.45,-1.5300,265.24
1,92,17.0,799.02,336.84,804.72,478.16,1.5305,141.44,796.94,256.82,808.79,553.15,1.5308,296.56
1,93,22.0,251.88,71.76,393.14,74.93,0.0224,141.30,254.39,69.95,564.39,78.70,0.0282,310.12
1,94,6.0,1788.88,686.61,1918.74,722.13,0.2670,134.63,1787.44,684.82,1918.77,720.75,0.2670,136.16
1,95,18.0,314.36,69.79,445.65,73.67,0.0295,131.34,250.64,66.49,554.41,75.69,0.0303,303.91
1,96,4.0,1380.25,729.39,1383.16,599.35,-1.5484,130.08,1380.29,778.14,1383.28,633.10,-1.5502,145.07
1,97,12.0,212.63,296.57,224.67,424.58,1.4770,128.58,217.83,334.52,229.07,455.77,1.4783,121.77
1,98,5.0,1603.96,38.07,1726.29,0.00,-0.3017,128.12,1603.19,37.08,1723.36,0.00,-0.2993,125.76
1,99,8.0,1096.87,92.19,1218.13,95.27,0.0254,121.31,1095.62,90.75,1219.39,93.75,0.0242,123.80
1,100,8.0,378.17,1020.94,498.07,1005.20,-0.1305,120.93,417.07,1014.63,570.80,994.50,-0.1302,155.05
1,101,17.0,1560.55,500.77,1567.52,381.91,-1.5122,119.06,1567.16,423.28,1572.65,325.60,-1.5146,97.84
1,102,4.0,1600.55,35.39,1708.95,0.00,-0.3156,114.03,1604.34,33.01,1705.21,0.00,-0.3163,106.14
1,103,4.0,1376.69,905.62,1378.58,794.36,-1.5538,111.28,1377.73,903.14,1379.59,783.11,-1.5553,120.04
1,104,5.0,966.90,942.06,1075.88,927.51,-0.1327,109.94,941.85,944.18,1075.74,926.49,-0.1313,135.05
1,105,15.0,411.85,995.46,520.59,981.59,-0.1269,109.62,389.39,996.96,534.21,978.12,-0.1293,146.05
1,106,32.0,277.83,674.18,287.56,782.15,1.4810,108.41,278.77,668.18,297.36,869.45,1.4787,202.12
1,107,15.0,785.34,90.64,790.12,198.15,1.5263,107.62,786.57,89.39,792.36,231.91,1.5302,142.64
1,108,9.0,0.48,1070.61,105.84,1058.78,-0.1118,106.02,0.45,1069.11,124.59,1055.01,-0.1131,124.93
1,109,6.0,683.14,85.10,786.91,88.32,0.0310,103.82,686.90,83.70,785.67,86.77,0.0311,98.82
1,110,2.0,1124.80,77.27,1214.46,25.44,-0.5241,103.57,1126.69,75.30,1215.62,24.03,-0.5230,102.65
1,111,5.0,0.59,58.66,103.15,60.90,0.0218,102.58,0.59,57.42,103.12,59.40,0.0193,102.55
1,112,19.0,1123.14,920.79,1221.70,909.16,-0.1175,99.24,1070.71,926.30,1218.15,908.30,-0.1215,148.53
1,113,10.0,803.80,14.40,807.26,108.11,1.5340,93.78,804.73,11.86,809.99,149.35,1.5326,137.59
1,114,25.0,100.60,66.46,191.87,69.49,0.0331,91.32,1.88,66.72,121.88,68.06,0.0112,120.01
2,0,10.0,820.16,244.31,843.51,935.61,1.5370,691.70,820.81,239.32,839.50,760.62,1.5350,521.63
2,1,9.0,1240.24,559.37,1250.87,0.61,-1.5518,558.86,1243.55,443.16,1252.45,0.61,-1.5507,442.64
2,2,7.0,235.63,61.86,781.95,79.61,0.0325,546.61,236.91,60.89,784.44,78.72,0.0326,547.82
2,3,12.0,1235.20,880.62,1239.10,440.62,-1.5619,440.02,1236.64,881.87,1237.92,726.87,-1.5626,155.01
2,4,13.0,808.95,554.35,820.57,936.91,1.5404,382.74,805.75,431.83,822.25,936.90,1.5381,505.34
2,5,1.0,845.48,935.76,1218.03,888.62,-0.1259,375.52,846.68,935.36,1219.39,888.28,-0.1257,375.67
2,6,12.0,1239.61,439.38,1246.78,75.65,-1.5511,363.80,1239.43,520.60,1247.87,80.64,-1.5516,440.04
2,7,16.0,1571.79,654.64,1918.30,758.78,0.2919,361.82,1624.37,669.40,1918.56,757.93,0.2923,307.22
2,8,5.0,1577.30,612.70,1918.51,700.37,0.2515,352.29,1578.38,612.12,1918.43,699.44,0.2514,351.08
2,9,6.0,1578.36,623.50,1918.52,714.13,0.2604,352.03,1579.74,622.99,1918.44,713.19,0.2603,350.50
2,10,7.0,1577.21,606.79,1918.65,692.26,0.2453,351.98,1578.33,606.06,1918.85,691.50,0.2459,351.07
2,11,9.0,1578.51,602.80,1918.49,686.64,0.2418,350.16,1578.72,601.96,1918.40,685.77,0.2419,349.86
2,12,8.0,1579.74,592.82,1918.43,673.10,0.2327,348.07,1580.84,592.22,1918.34,672.21,0.2327,346.85
2,13,8.0,1579.49,582.62,1918.44,659.24,0.2223,347.50,1580.86,582.07,1918.36,658.33,0.2222,346.01
2,14,6.0,276.00,685.59,308.81,1030.68,1.4760,346.65,277.68,685.67,310.50,1030.52,1.4759,346.41
2,15,7.0,1584.53,573.64,1918.33,645.93,0.2133,341.53,1584.46,572.75,1918.26,645.01,0.2132,341.53
2,16,5.0,1585.80,553.46,1918.28,618.58,0.1934,338.79,1587.17,552.87,1918.44,617.76,0.1934,337.57
2,17,11.0,1585.85,533.07,1918.44,591.34,0.1734,337.65,1588.22,532.58,1918.36,590.51,0.1737,335.19
2,18,6.0,1586.90,522.97,1918.24,577.42,0.1629,335.78,1588.26,522.32,1918.38,576.59,0.1629,334.55
2,19,10.0,1585.77,492.06,1918.20,536.33,0.1324,335.37,1588.26,522.32,1918.38,576.59,0.1629,334.55
2,20,11.0,830.27,606.89,839.68,941.87,1.5427,335.11,832.39,636.86,837.99,828.13,1.5415,191.35
2,21,7.0,1585.70,461.12,1918.21,494.75,0.1008,334.21,1586.90,460.42,1918.30,493.91,0.1007,333.09
2,22,7.0,1585.60,450.87,1918.20,481.08,0.0906,333.96,1586.92,450.15,1918.27,480.26,0.0906,332.72
2,23,6.0,1588.12,440.73,1918.21,467.08,0.0797,331.14,1588.18,439.94,1918.18,466.23,0.0795,331.04
2,24,18.0,1599.58,100.16,1918.37,15.30,-0.2602,329.89,1601.73,98.83,1918.48,14.44,-0.2604,327.79
2,25,4.0,1600.50,88.91,1918.26,1.10,-0.2696,329.67,1601.80,87.85,1918.04,0.32,-0.2700,328.13
2,26,7.0,1589.38,430.50,1918.20,453.34,0.0693,329.61,1588.11,429.59,1918.17,452.48,0.0692,330.85
2,27,5.0,1589.40,420.15,1918.20,439.30,0.0582,329.36,1590.62,419.38,1918.18,438.50,0.0583,328.11
2,28,12.0,1589.43,413.24,1918.23,429.75,0.0502,329.21,1590.64,422.94,1918.22,442.72,0.0603,328.19
2,29,9.0,1600.46,103.75,1918.65,20.12,-0.2570,329.00,1604.38,101.90,1918.44,19.31,-0.2572,324.73
2,30,10.0,1598.26,143.75,1918.56,72.58,-0.2186,328.11,1599.56,142.72,1918.39,71.80,-0.2189,326.62
2,31,11.0,1590.56,319.14,1918.23,304.15,-0.0457,328.01,1593.07,318.19,1918.19,303.25,-0.0459,325.46
2,32,13.0,1590.61,347.08,1918.14,341.74,-0.0163,327.58,1594.36,346.20,1918.15,340.99,-0.0161,323.83
2,33,9.0,1597.94,154.76,1918.40,86.93,-0.2086,327.56,1599.24,153.73,1918.49,86.11,-0.2087,326.34
